Field=#~Integer~#~50|Field=Description~String~Description~58|Field=Designator~String~Designator~474|Field=LibRef~String~LibRef~20|Field=Manufacturer 1~String~Manufacturer 1~20|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~20|Field=Quantity~Integer~Quantity~20|Field=Supplier 1~String~Supplier 1~34|Field=Supplier Currency 1~String~Supplier Currency 1~28|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~20|Field=Supplier Part Number 1~String~Supplier Part Number 1~20|Field=Supplier Stock 1~Integer~Supplier Stock 1~20|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~20|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Micromouse2019.PrjPcb|ReportField=ProjectFullPath~C:\Users\billy_000\Documents\Micromouse\2019\Micromouse 2019\Micromouse2019.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [Micromouse2019.PcbDoc]|ReportField=TotalQuantity~84|ReportField=ReportTime~7:44:57 PM|ReportField=ReportDate~2/5/2019|ReportField=ReportDateTime~2/5/2019 7:44:57 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Micromouse2019.PcbDoc|ReportField=DataSourceFullPath~C:\Users\billy_000\Documents\Micromouse\2019\Micromouse 2019\Micromouse2019.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|CAP CER 1UF 25V X7R 0805|C1, C3, C4, C6, C7, C8|CAP|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-4785-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-4785-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|6|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-4785-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-4785-1-ND{URL.TIP}Supplier|||
2|CAP CER 10UF 50V X5R 1206|C2|CAP|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-12456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-12456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|1|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-12456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-12456-1-ND{URL.TIP}Supplier|||
3|CAP CER 4.7UF 10V X7R 0805|C5|CAP|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D1276-2972-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D1276-2972-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|1|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D1276-2972-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1276-2972-1-ND{URL.TIP}Supplier|||
4|CAP CER 0.1UF 50V X7R 0603|C9, C10, C13, C15, C19|CAP|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D399-6856-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D399-6856-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|5|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D399-6856-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-6856-1-ND{URL.TIP}Supplier|||
5|CAP TANT 10UF 10% 20V 1206|C11, C12, C16, C20|CAP POL|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D478-8273-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D478-8273-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|4|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D478-8273-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}478-8273-1-ND{URL.TIP}Supplier|||
6|CAP CER 10000PF 50V X7R 0603|C14, C18|CAP|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-1085-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-1085-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|2|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-1085-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1085-1-ND{URL.TIP}Supplier|||
7|CAP CER 0.47UF 16V X7R 0603|C17, C21|CAP|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-3295-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-3295-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|2|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D490-3295-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-3295-1-ND{URL.TIP}Supplier|||
8|LED GREEN CLEAR CHIP SMD|D1|LED|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D160-1888-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D160-1888-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|1|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D160-1888-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1888-1-ND{URL.TIP}Supplier|||
9|LED BLUE CLEAR CHIP SMD|D2, D3, D4, D5|LED|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D160-1647-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D160-1647-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|4|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D160-1647-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1647-1-ND{URL.TIP}Supplier|||
10|CONN HEADER R/A 4POS 2.5MM|J1|JST-XH-4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D455-2243-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D455-2243-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|1|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D455-2243-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-2243-ND{URL.TIP}Supplier|||
